"provinsi","kota","kecamatan","kelurahan","id_tps","nomor_tps","diterima","rusak","tdk_digunakan","tdk_sah","no1","no2","no3","no4","no5","no6","no7","no8","no9","no10","no11","no12","no13","no14","no15","no16","no17","no18","no19","no20","saksi_pileg"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001025","025","174","0","20","7","1","2","90","10","5","0","2","9","0","3","11","11","0","3","","","","","0","0","BAGAS"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001026","026","165","0","15","12","1","5","59","27","2","0","2","0","1","10","20","8","0","2","","","","","0","1","WATI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001027","027","276","1","49","18","1","3","75","43","6","2","10","20","1","1","21","22","0","3","","","","","0","0","TRI CAHYANA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001028","028","236","0","23","11","6","9","88","24","6","1","5","17","3","1","26","7","0","5","","","","","0","2","ALDI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002001","001","150","0","19","3","6","13","31","30","1","0","12","2","2","3","1","15","0","0","","","","","0","0","MUSTAFA KARIM"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002002","002","238","0","29","20","11","9","100","6","6","0","5","11","3","2","7","20","0","6","","","","","2","1","ARTHA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002003","003","278","0","35","16","12","22","102","8","1","0","2","40","3","5","7","20","1","3","","","","","0","1","endah"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002004","004","177","0","21","16","9","9","66","2","8","0","5","13","1","5","7","8","0","7","","","","","0","0","sutrisno"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002005","005","170","0","9","4","7","11","72","9","15","0","2","13","0","7","2","15","0","2","","","","","2","0","winda"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","PRINGGOKUSUMAN","3471051002006","006","123","8","12","8","4","4","41","5","1","0","1","32","1","4","4","3","0","3","","","","","0","0","BONDAN PAMUNGKAS"
